id label friends followers statuses
256.0 opharin 258.0 294.0 4244.0
49.0 el_mago_oficial 66.0 979502.0 294.0
158.0 Runtastic 2083.0 51340.0 25449.0
48.0 Lexus 4664.0 823917.0 13742.0
143.0 valeroth20 310.0 386592.0 4471.0
236.0 _BarSabSP 0.0 13.0 1.0
85.0 PerlitaAtrevida 525.0 22736.0 488.0
278.0 alexgeo27 180.0 25.0 4.0
224.0 KarlaNicolev 26.0 8.0 1.0
271.0 JohnWayneGacy66 5.0 5.0 12.0
212.0 Sofiisabel 714.0 304.0 2165.0
274.0 dlagosv 100.0 9.0 6.0
170.0 adidas 138.0 2744974.0 3896.0
225.0 Baeza_Vivi 155.0 39.0 81.0
8.0 udechile 45.0 422157.0 58624.0
257.0 DoomiYanez 3.0 6.0 0.0
298.0 dani_vaskez 0.0 34.0 0.0
286.0 frandeooxD 8.0 6.0 1.0
139.0 Frangeldres 47.0 46.0 10.0
73.0 adnradiochile 1371.0 1407429.0 207428.0
88.0 valunicol 251.0 46.0 90.0
242.0 Denise_Gutie 126.0 499.0 10491.0
52.0 MARIELA_MONTERO 977.0 68572.0 15874.0
69.0 Maru_a_n 230.0 103.0 105.0
326.0 rend1bu 2902.0 4547.0 47189.0
189.0 franbulosa 285.0 161961.0 4816.0
23.0 javierasuarez 246.0 212546.0 27306.0
293.0 BelenRetamalA 70.0 25.0 20.0
277.0 Dario_bless 138.0 11.0 30.0
172.0 Lulichile 337.0 332414.0 6199.0
305.0 loreframirez 73.0 42.0 10.0
204.0 francitafer 318.0 120.0 35.0
262.0 ClauuOlavarria 12.0 14.0 51.0
121.0 RafaelNadal 77.0 9872126.0 2242.0
327.0 mcruces97 1860.0 878.0 1460.0
190.0 daniellachavezc 2776.0 294837.0 12550.0
319.0 camivillanuevat 220.0 119.0 60.0
187.0 marlen_doll 2646.0 131667.0 5884.0
315.0 flaashdelirium 399.0 292.0 7745.0
290.0 BFMV_CHILE 1231.0 1352.0 2644.0
39.0 BBC_TopGear 1877.0 1964687.0 10274.0
281.0 MedelPitbull 73.0 1154850.0 227.0
131.0 natisepulved 40.0 21.0 10.0
1.0 batan_yogi 190.0 42.0 100.0
103.0 camicuevas94 27.0 128.0 128.0
194.0 ParraLisi 18.0 4.0 0.0
207.0 franncanales 3.0 12.0 2.0
279.0 carito_stevens 1395.0 367.0 762.0
213.0 JavieraMrquez 364.0 265.0 3751.0
331.0 womchile 1702.0 76179.0 2909.0
211.0 catalinaakil 13.0 11.0 2.0
140.0 CarretesConce 3.0 83.0 1.0
333.0 CinemarkChile 3225.0 270555.0 75414.0
230.0 camilasaav 268.0 410.0 23977.0
182.0 vine 1.0 1.6436785E7 2594.0
28.0 conizaror 139.0 67.0 7.0
168.0 premierleague 23.0 1.1768404E7 66666.0
42.0 facebook 92.0 1.3982933E7 3656.0
218.0 Gabriela_m11 43.0 29.0 14.0
241.0 alvearmarite 54.0 14.0 2.0
106.0 SmoochiesCupcak 1500.0 395.0 292.0
167.0 FMartinezQ 1220.0 1156.0 6357.0
323.0 YaniraCofre 74.0 40.0 60.0
20.0 javilarusia 3652.0 623259.0 11281.0
22.0 asisomosoficial 67.0 300460.0 25558.0
19.0 ememora 2095.0 971.0 8622.0
